,Decoding Accuracy
601,0.4703389830508475
602,0.44378531073446326
603,0.4759887005649718
604,0.4748587570621469
605,0.49463276836158193
606,0.46836158192090394
607,0.5988700564971752
608,0.43163841807909603
609,0.5661016949152542
610,0.5717514124293785
611,0.43954802259887005
612,0.5031073446327684
613,0.5194915254237288
614,0.4516949152542373
615,0.4242937853107345
616,0.5403954802259887
617,0.523728813559322
618,0.5214689265536723
619,0.5652542372881356
620,0.5463276836158192
621,0.45084745762711864
622,0.46497175141242936
623,0.4810734463276836
624,0.535593220338983
625,0.4610169491525424
626,0.5485875706214689
627,0.5296610169491526
628,0.5313559322033898
629,0.45282485875706213
630,0.41271186440677965
631,0.5138418079096045
632,0.542090395480226
633,0.4985875706214689
634,0.5697740112994351
635,0.5437853107344632
636,0.45649717514124294
637,0.5172316384180791
638,0.4322033898305085
639,0.4646892655367232
640,0.5290960451977401
641,0.4909604519774011
642,0.5141242937853108
643,0.47401129943502823
644,0.4703389830508475
645,0.4717514124293785
646,0.5533898305084746
647,0.5016949152542373
648,0.5412429378531074
649,0.5124293785310734
650,0.4887005649717514
651,0.4827683615819209
652,0.48333333333333334
653,0.4562146892655367
654,0.546045197740113
655,0.5048022598870057
656,0.4548022598870056
657,0.4824858757062147
658,0.48050847457627116
659,0.48361581920903957
660,0.538135593220339
661,0.503954802259887
662,0.5387005649717514
663,0.5149717514124293
664,0.5005649717514125
665,0.5254237288135594
666,0.5387005649717514
667,0.536723163841808
668,0.535593220338983
669,0.53954802259887
670,0.5632768361581921
671,0.5892655367231638
672,0.48954802259887004
673,0.5141242937853108
674,0.5209039548022599
675,0.4694915254237288
676,0.5375706214689265
677,0.4810734463276836
678,0.43813559322033896
679,0.4612994350282486
680,0.5194915254237288
681,0.4364406779661017
682,0.5076271186440678
683,0.518361581920904
684,0.4440677966101695
685,0.55
686,0.5387005649717514
687,0.43615819209039547
688,0.4847457627118644
689,0.4971751412429379
690,0.49689265536723165
691,0.5525423728813559
692,0.5528248587570621
693,0.4765536723163842
694,0.47994350282485876
695,0.4709039548022599
696,0.5070621468926554
697,0.46836158192090394
698,0.4853107344632768
699,0.4562146892655367
700,0.5087570621468926
701,0.5127118644067796
702,0.5771186440677966
703,0.4943502824858757
704,0.5398305084745763
705,0.47062146892655365
706,0.4279661016949153
707,0.4666666666666667
708,0.45734463276836157
709,0.47231638418079097
710,0.46214689265536724
711,0.44463276836158194
712,0.4426553672316384
713,0.4903954802259887
714,0.45875706214689266
715,0.5138418079096045
716,0.4774011299435028
717,0.44661016949152543
718,0.46242937853107347
719,0.4392655367231638
720,0.5313559322033898
721,0.48926553672316386
722,0.5302259887005649
723,0.43050847457627117
724,0.536723163841808
725,0.5951977401129943
726,0.5322033898305085
727,0.4980225988700565
728,0.514406779661017
729,0.5011299435028248
730,0.48418079096045197
731,0.4367231638418079
732,0.5240112994350282
733,0.5748587570621468
734,0.48983050847457626
735,0.5581920903954802
736,0.5353107344632768
737,0.47627118644067795
738,0.49887005649717514
739,0.5048022598870057
740,0.47796610169491527
741,0.5016949152542373
742,0.523728813559322
743,0.4429378531073446
744,0.5107344632768361
745,0.5209039548022599
746,0.48757062146892655
747,0.5353107344632768
748,0.4596045197740113
749,0.4963276836158192
750,0.5584745762711865
751,0.4858757062146893
752,0.592090395480226
753,0.5559322033898305
754,0.5751412429378531
755,0.5254237288135594
756,0.4516949152542373
757,0.5646892655367232
758,0.5073446327683616
759,0.5129943502824859
760,0.4853107344632768
761,0.5050847457627119
762,0.44943502824858755
763,0.6101694915254238
764,0.4884180790960452
765,0.45847457627118643
766,0.5098870056497176
767,0.47146892655367234
768,0.4675141242937853
769,0.5562146892655367
770,0.5274011299435029
771,0.4192090395480226
772,0.5268361581920904
773,0.5788135593220339
774,0.48135593220338985
775,0.5296610169491526
776,0.4884180790960452
777,0.4909604519774011
778,0.5112994350282486
779,0.44378531073446326
780,0.4485875706214689
781,0.5166666666666667
782,0.47231638418079097
783,0.5483050847457627
784,0.469774011299435
785,0.5661016949152542
786,0.5485875706214689
787,0.4562146892655367
788,0.46299435028248587
789,0.4666666666666667
790,0.5714689265536723
791,0.5059322033898305
792,0.5545197740112995
793,0.44124293785310736
794,0.44152542372881354
795,0.4909604519774011
796,0.5180790960451978
797,0.4652542372881356
798,0.5022598870056497
799,0.47994350282485876
800,0.47372881355932206
801,0.5050847457627119
802,0.49915254237288137
803,0.4923728813559322
804,0.49124293785310735
805,0.5070621468926554
806,0.47372881355932206
807,0.5627118644067797
808,0.5112994350282486
809,0.507909604519774
810,0.5819209039548022
811,0.5005649717514125
812,0.4542372881355932
813,0.5446327683615819
814,0.5968926553672317
815,0.5036723163841808
816,0.49548022598870056
817,0.5550847457627118
818,0.4963276836158192
819,0.5550847457627118
820,0.47824858757062144
821,0.5177966101694915
822,0.5378531073446328
823,0.4542372881355932
824,0.5525423728813559
825,0.5288135593220339
826,0.47824858757062144
827,0.6059322033898306
828,0.5358757062146893
829,0.5180790960451978
830,0.5296610169491526
831,0.3912429378531073
832,0.47994350282485876
833,0.514406779661017
834,0.4940677966101695
835,0.5172316384180791
836,0.49350282485875707
837,0.4943502824858757
838,0.49830508474576274
839,0.5398305084745763
840,0.5488700564971751
841,0.5101694915254237
842,0.5076271186440678
843,0.49745762711864405
844,0.5194915254237288
845,0.4689265536723164
846,0.4943502824858757
847,0.49830508474576274
848,0.4830508474576271
849,0.4774011299435028
850,0.5700564971751413
851,0.47853107344632767
852,0.5115819209039548
853,0.47372881355932206
854,0.5522598870056498
855,0.5858757062146893
856,0.5350282485875706
857,0.5429378531073447
858,0.576271186440678
859,0.4384180790960452
860,0.45706214689265534
861,0.5225988700564972
862,0.5793785310734463
863,0.4327683615819209
864,0.5138418079096045
865,0.4754237288135593
866,0.43587570621468924
867,0.5282485875706214
868,0.5279661016949152
869,0.48615819209039546
870,0.5005649717514125
871,0.4590395480225989
872,0.4596045197740113
873,0.5324858757062146
874,0.5220338983050847
875,0.4903954802259887
876,0.5200564971751412
877,0.49322033898305084
878,0.5587570621468927
879,0.535593220338983
880,0.5336158192090396
881,0.5180790960451978
882,0.5596045197740113
883,0.4867231638418079
884,0.519774011299435
885,0.515819209039548
886,0.5059322033898305
887,0.5330508474576271
888,0.5206214689265537
889,0.5186440677966102
890,0.42005649717514126
891,0.4590395480225989
892,0.4327683615819209
893,0.597457627118644
894,0.46779661016949153
895,0.5048022598870057
896,0.4350282485875706
897,0.44689265536723166
898,0.5203389830508475
899,0.594632768361582
900,0.48389830508474574
901,0.4957627118644068
902,0.5372881355932203
903,0.480225988700565
904,0.3977401129943503
905,0.5288135593220339
906,0.4994350282485876
907,0.535593220338983
908,0.4765536723163842
909,0.4610169491525424
910,0.5161016949152543
911,0.48135593220338985
912,0.5562146892655367
913,0.5711864406779661
914,0.5491525423728814
915,0.45
916,0.5033898305084745
917,0.43192090395480226
918,0.5307909604519774
919,0.4725988700564972
920,0.5101694915254237
921,0.5073446327683616
922,0.4884180790960452
923,0.5152542372881356
924,0.5302259887005649
925,0.5070621468926554
926,0.503954802259887
927,0.5319209039548023
928,0.5285310734463277
929,0.5426553672316384
