term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
apartment,-0.048187077928278185,0.06080255988672913,0.05310065623918933,0.12065260958371338,0.01649096637727384,0.02521783761458432,-0.03649436111252467,0.11886222286542672,0.201442670017624,-0.024609165301366996,0.0,-0.08793572810685911,-0.05141362730233445,0.13965492133259672,0.17181211878611938,0.23189420259256702,0.1483130334453104,0.05662659996123273,0.2503369343363505,-0.15475241303548587,0.02520192354658854,0.017342077926673083,-0.02724433715853322,0.004473018610649734,0.045315718802332344,0.0707557415872789,-0.05175857400577401,0.09279917572519458,0.11403751529443604,0.14269258791514308,-0.05451184191187651,-0.08453682709546081,-0.02390005912536075,-0.06720308490163439,-0.039812384663007315,0.11716650677987109,0.13278378805975294,0.21239612545357425,-0.16675112643364892,-0.08962006438150233,0.21548282412567696,0.01575046292047126,0.10357943368529957,0.1562188565073497,0.013363891413213605,-0.07978697505687662,-0.07991464366174107,-0.05865857727526963,0.1870911577403697,-0.06138414433630408,-0.07202527814028774,-0.07317783483497416,-0.0669784630341316,-0.11051802735750109,-0.05269146370605309,0.06058203988525046,0.24206346482093796,0.062139762311089086,0.18951384199390825,0.16446982174122843
igloo,-0.15478311220283822,-0.10026420200210588,-0.016104945475983706,-0.02187983197547809,-0.02917017524989303,-0.11597382792499616,-0.17459388707442247,-0.1948745078861238,-0.15162652923447126,-0.2119295997776742,-0.08793572810685911,0.0,0.07189986381682598,-0.04069988626776703,-0.127337618296479,-0.03285904211882473,-0.08190619736093777,0.044789588787482904,-0.08059577996576922,-0.12437892497832839,-0.136486882033923,-0.10433963831498227,-0.1489145241001522,-0.1486118444352983,-0.1539990867443446,-0.027300174324648076,-0.1782688777992933,-0.06339904732600657,-0.10851604262383979,-0.10271497574756906,-0.029085226891397226,-0.09298194754785938,-0.12838266498024803,-0.13088560529029264,-0.058315864974253395,-0.0714116819910853,-0.02870449678958692,-0.08384522265151313,-0.07017211048415545,-0.13907690737009654,-0.08322680933431803,-0.2729410146914709,-0.19433935963557175,0.03925433276928916,-0.16432906933167243,-0.040844810797271716,0.043234662012300834,-0.032778871293507206,-0.25226007184298715,-0.0790991768702179,-0.014112340035733011,0.04371258770426754,-0.012833987118802001,0.025104466700881567,-0.06031843432985502,-0.13144917105656537,-0.16101399527538546,-0.17882651798416466,-0.13191954030614472,-0.009323322199504061
barn,0.1877129971396325,0.06761421524315461,0.1340583448231765,0.13215958484476656,0.11619847509119322,-0.010698243711232638,-0.07598509725509173,-0.009847475305625311,0.06234516821484071,-0.03179471785895975,-0.05141362730233445,0.07189986381682598,0.0,-0.008103171938385112,0.038874315030341694,0.150524999696983,0.02700934994290477,0.08099256129744967,0.09640738180773553,-0.14076604532912712,0.06881243548277335,0.10887383103751652,0.001660431623164385,0.045753521714498896,0.0878955951470248,0.05431552426313582,-0.05811145308412488,0.03588125446369733,0.078004741033183,-0.03049844688179766,0.045254167162607634,-0.01592295200264235,-0.12318206313698994,-0.048080335607771446,0.06437597777711282,0.021486277450061153,0.07366629060630714,0.09221161301911363,-0.03705555318366159,-0.009713710202772827,-0.037619895514451024,-0.08501271011304232,-0.023124728541851935,0.11428453211773706,-0.02443471327909419,-0.05415122620156648,0.009166851378016302,-0.05170084272041897,-0.020773266904102944,0.06205260958366757,0.04531029481150234,0.08805973705019118,0.09874525084345553,0.03491430163618629,0.008861573289084476,0.07841362778898339,0.048617117496031176,0.0601070846130414,0.10659180048998576,0.029751208114015243
house,0.059527017754919614,0.08255164973261425,0.1170757435008575,0.1993620026001147,0.09165422027290188,0.0009767543076423801,0.04860368681821181,0.19030142227518315,0.1163178864560446,0.05148406662586516,0.13965492133259672,-0.04069988626776703,-0.008103171938385112,0.0,-0.004937977121390047,0.2770699368475176,0.10508397686739765,0.07926123029831592,0.1623470981588929,-0.09228245455533562,0.04089080285111331,0.0031704581605496163,0.020142573609473746,0.05208405837557395,0.08744041667450184,0.16717488302712788,-0.07360352334474204,0.07728443560914286,0.1536543605578954,0.14556198169805523,-0.006772836176044732,0.0639426770844693,0.020698776372238173,-0.09494602281184314,0.0026668074895899035,0.08389794033509507,0.04488728767704234,0.1512886483325754,-0.04014710228977849,-0.025519756522590392,0.2122283870337354,0.19524394920305424,0.12527662799489464,0.039686425532063405,0.020087301005134506,-0.1233004722128501,-0.07560971542030104,-0.16508432921002583,0.13939697050937586,0.13888611570175263,-0.045082400083735895,-0.11880750156371923,0.10331195893763082,-0.06187169948745598,-0.0994957120996414,-0.005773023171300837,0.11701387504429747,0.03348788404040076,0.08615226093485501,0.11050506129451523
church,-0.045038854103136745,0.06792211679015059,-0.0437703343482779,-0.017697294713776512,0.08798218116626873,-0.0323719299376508,0.029707552799067227,0.14358893019919977,0.07423548372253261,-0.00951340127501827,0.17181211878611938,-0.127337618296479,0.038874315030341694,-0.004937977121390047,0.0,0.21521835980294993,0.07667282855017116,0.1500443863943075,0.20955879175814263,0.04755821159791282,0.006760855932822808,-0.010913135590170403,-0.0719387652251876,0.07302975031606426,0.08155914259980962,0.08393038034006087,0.0010016316053047605,0.050105531402206305,0.06823049053952546,0.012137480195979836,-0.03495333286679765,0.0068037583765669825,-0.03371278655391456,-0.09371056833092842,-0.02189657359186674,-0.031042226708651727,-0.0020739830322213174,0.14317604444415208,-0.04963012336957836,-0.024265932410267373,0.09198717435172754,0.0773854527498968,0.014941747420095158,-0.05500723032614609,0.11671649059460673,-0.14782881099906878,-0.1421622681452959,-0.16417208506349334,0.14561710042674103,0.0077571880610132204,-0.06814791824640219,-0.056044896350683326,0.10177621760804499,-0.11972550565610145,-0.05768155696462099,0.0016825452216078021,0.053311733392007093,0.007670889237520212,0.03207561421178441,-0.008661553144448393
door,-0.0072003932364795575,0.10782331409655507,0.038901765318361314,0.09288884732788785,0.07877113586957793,-0.043774136369999134,-0.10078664786986749,0.13280551660889756,0.0592531679660451,0.07170590106183936,0.23189420259256702,-0.03285904211882473,0.150524999696983,0.2770699368475176,0.21521835980294993,0.0,0.04400429423976554,-0.03746309260049885,0.2276933859662139,-0.14084165623833036,0.05796798236720338,0.08553999025581122,-0.047608445147629186,-0.01077639031640093,0.05917216108218892,0.21879202145496926,-0.09455250955650926,0.06737033658163372,0.14682102414998618,0.031681437597739115,-0.10071645496809152,-0.05804773586327059,-0.005265016494761771,-0.03478417555176946,-0.04303999716519502,0.03787167780410841,0.10788587520911433,0.10632657776468263,-0.048494687653370686,0.006908328071608849,0.22778540459843816,0.14539049802001133,0.11004134809697122,0.14419638870268534,0.07340914771396442,-0.045834127396150975,-0.10399663654069696,-0.11149323079395018,0.228872498762241,0.03570366710646153,0.007306693954331991,0.00020028563944445325,0.040319969909825865,0.07908485611760951,-0.0012246891518293487,0.04898356028264916,0.19144320895103167,0.09194920320868172,0.17681256462275105,0.17618083118566738
closet,-0.0042196822201004125,-0.043878883902522293,0.042932122405481665,0.022252046788225205,-0.01514777252606217,-0.12903546924065926,-0.13708281333088984,-0.030425722404995387,-0.01648835065826304,-0.10741312792007496,0.1483130334453104,-0.08190619736093777,0.02700934994290477,0.10508397686739765,0.07667282855017116,0.04400429423976554,0.0,0.004692778683639043,0.12766175278751438,-0.13535007816240238,0.1393257221965495,0.18865884687397302,0.04592061089337787,0.09734349736725526,0.12673896437290003,0.027819245836409157,-0.07543787129156676,0.09197231135798889,0.020455366468812602,-0.008218407774489789,-0.16039947398652724,-0.03269407970571757,-0.04442891336986478,-0.10563848162959436,0.0019607082012700616,0.06333703240642422,0.05840438797749778,0.017406325935861527,-0.09789700376692471,-0.10908043690674052,-0.023366661069382427,-0.08734027302962324,-0.02560179332927634,0.135782022447815,-0.12350083587207236,0.015067881752402146,-0.01690650379511624,0.004509377183195468,0.0035812261342521856,-0.062394955506513694,-0.04387343881433691,0.09017652763414198,-0.037586395519316175,0.04841737343696981,0.04872745213066548,-0.016775520689507162,-0.04636147031370241,-0.09627900335681834,-0.03521788854904903,0.026617594278329243
chimney,-0.02552482745958609,-0.05886743917305139,0.030252942991775694,-0.032158255194325844,-0.0449934688805739,-0.04651850327899143,-0.025458072514153662,-0.048783343744996197,-0.03508155588241285,-0.0907866353392058,0.05662659996123273,0.044789588787482904,0.08099256129744967,0.07926123029831592,0.1500443863943075,-0.03746309260049885,0.004692778683639043,0.0,0.038673124046151586,-0.20028153335388968,-0.09267220832443084,-0.026322074868829717,-0.01233118175507883,-0.0016052686560716067,-0.09079593664359972,-0.038571835976180864,-0.08823095552280671,0.012858389516874208,-0.06846766102232546,-0.07482208723362571,-0.0437329711907196,-0.02550529077598733,-0.14382767148019363,-0.16808402991252724,-0.043304872392645494,-0.07824673065194872,-0.010714435916952647,-0.013684344855983688,-0.061871040658341606,-0.0818593519897526,-0.036928698596969525,-0.10328165441267298,-0.047861572063155125,0.0003938960391992319,-0.004789861121289818,-0.08690610147996032,0.033550595478697265,-0.06934833559970738,-0.018580374492766664,-0.12819173031638936,0.013728638359855848,0.0705132856104278,-0.009489265931788712,0.013032413885169722,-0.0011298310265749692,-0.05424352395367288,-0.006728164413587034,-0.03498063845516025,-0.02490948251663229,-0.0031030450776377005
window,-0.05022058805242867,0.05841400261589355,-0.0030676710137263197,0.02186179552382969,0.012110536183973106,0.030078372741127152,0.06291349601835719,0.09257289164499558,0.08916660296593956,0.07037221282697817,0.2503369343363505,-0.08059577996576922,0.09640738180773553,0.1623470981588929,0.20955879175814263,0.2276933859662139,0.12766175278751438,0.038673124046151586,0.0,-0.06156001218391838,0.1099718504286819,0.08101684789151645,-0.035811488634769476,0.06550732663283165,0.09759646112123385,0.13609729286161612,0.01474770273142928,0.1454219991094242,0.11342738562000249,0.0559838824077562,-0.08128372653691598,0.048741196923214714,0.009123429015456486,-0.09831513205743514,-0.03569502823820757,0.08125689278223755,0.1855842702264001,0.23830348511787924,-0.0037734678531791688,-0.05820004279217877,0.11185180204124806,-0.05460189848597913,0.10308034185414808,0.1669057041374162,0.030121812223215916,-0.004906434729195858,-0.0047439205200341394,0.019796657630463177,0.28884651548655416,-0.008998201420585883,0.06745694741412375,0.05190347669823898,0.044418850152721505,0.05539153957157304,0.03948775322337429,0.09103880443600332,0.223057243841534,0.09049546406321463,0.13859900847037476,0.1786831626955983
arch,-0.040414696232747474,0.023573197363925907,-0.05367919348674036,-0.0784820775055939,-0.035301488368836946,0.040862965781775784,-0.04878982225276346,-0.034043783739101385,-0.02066359095885109,-0.027947377793635708,-0.15475241303548587,-0.12437892497832839,-0.14076604532912712,-0.09228245455533562,0.04755821159791282,-0.14084165623833036,-0.13535007816240238,-0.20028153335388968,-0.06156001218391838,0.0,-0.12504281538548145,-0.14985863675635452,-0.14477870580783755,-0.06394743180683944,-0.1613990621503891,0.06316191911672786,-0.09129804308837831,-0.08171215758759386,0.01371526402088663,-0.0770924102444969,-0.07553249014271848,-0.09250880225250635,-0.08945259678397816,-0.08663242220975138,-0.15006547949328217,-0.09230449040459623,-0.09078474534442388,-0.01886971968427331,-0.06659894025335328,0.03420428419022911,-0.04931644882531954,0.0032851640413211203,-0.05823710949102873,-0.1201914538437914,-0.03816820427066439,-0.09323682986382337,-0.052444225853115395,-0.04409222872924114,-0.023744425731702254,-0.12942391737222508,-0.06530581819656764,0.016568071582749803,-0.060291551146308776,-0.007274840435165818,-0.12210057481508418,-0.11096913504671213,-0.12568194787951203,-0.03592226358336774,-0.15467019080672303,-0.07444519454073736
